model,refrigerant,btuh,required_addons
HS-25EC,r22,2117,temp control
HS-25EC,r134,2023,temp control
HS-25EC,r404,2087,temp control
HS-25EC,r448,2172,temp control
HS-31EC,r22,4793,temp control
HS-31EC,r134,4471,temp control
HS-31EC,r404,4579,temp control
HS-31EC,r448,4497,temp control
HS-47EC,r22,7635,temp control
HS-47EC,r134,6915,temp control
HS-47EC,r404,7389,temp control
HS-47EC,r448,7616,temp control
HS-66EC,r22,8666,temp control
HS-66EC,r134,8080,temp control
HS-66EC,r404,8476,temp control
HS-66EC,r448,8642,temp control
HS-87EC,r22,12310,temp control
HS-87EC,r134,11840,temp control
HS-87EC,r404,11900,temp control
HS-87EC,r448,12288,temp control
HS-120EC,r22,19820,temp control
HS-120EC,r134,18624,temp control
HS-120EC,r404,19327,temp control
HS-120EC,r448,19760,temp control
HS-180EC,r22,26690,temp control
HS-180EC,r134,26490,temp control
HS-180EC,r404,27967,temp control
HS-180EC,r448,27133,temp control